age,monthly_budget_usd,collection_size,monthly_purchases,resale_interest,social_media_engagement,blind_box_risk_tolerance,favorite_series,collector_type,region,will_buy_next_release
28,149.04,28,2,4,9,8,Hirono,completionist,North America,1
41,96.51,30,5,4,5,2,Labubu,casual,East Asia,1
21,153.28,29,3,0,7,8,Labubu,casual,North America,1
39,67.59,34,5,2,10,5,Skullpanda,display-focused,East Asia,1
19,105.18,24,3,1,1,6,Molly,casual,Southeast Asia,1
41,73.29,20,3,6,3,9,Molly,trend-chaser,East Asia,1
41,82.14,24,3,7,2,1,Dimoo,casual,North America,0
19,89.18,22,1,4,1,4,Molly,casual,Europe,0
46,99.1,24,5,6,7,3,Hirono,reseller,East Asia,1
32,64.04,33,3,2,0,6,Skullpanda,casual,East Asia,1
47,103.15,20,2,9,4,1,Dimoo,display-focused,Oceania,1
17,87.4,25,3,0,1,1,Molly,display-focused,Europe,0
23,49.34,22,2,5,6,7,Molly,casual,North America,1
35,41.9,33,4,3,8,0,Skullpanda,completionist,Europe,0
23,132.87,11,6,4,5,4,Dimoo,display-focused,Southeast Asia,1
29,34.73,23,2,5,4,10,Crybaby,completionist,East Asia,1
42,80.55,23,3,7,4,10,Labubu,casual,Southeast Asia,1
21,47.44,27,3,10,2,1,Skullpanda,display-focused,East Asia,0
43,163.98,27,3,6,4,10,Dimoo,completionist,Oceania,1
20,107.38,24,4,2,10,3,Labubu,casual,Europe,1
23,98.04,25,2,5,0,2,Hirono,casual,Oceania,0
39,61.85,13,0,5,8,5,Molly,casual,Southeast Asia,0
47,49.09,28,3,9,1,5,Hirono,casual,Southeast Asia,1
22,92.35,16,4,6,1,4,Skullpanda,casual,Southeast Asia,1
27,85.22,17,3,9,3,4,Labubu,trend-chaser,East Asia,0
53,55.52,26,5,7,2,1,Dimoo,display-focused,East Asia,0
55,54.79,33,3,6,3,2,Labubu,completionist,East Asia,1
39,53.77,32,7,3,9,2,Dimoo,casual,Southeast Asia,1
33,53.08,18,3,2,9,10,Hirono,casual,Southeast Asia,1
29,66.73,23,1,1,7,5,Skullpanda,reseller,East Asia,0
40,98.05,30,3,6,1,6,Molly,reseller,Europe,0
39,104.73,19,4,10,10,4,Skullpanda,trend-chaser,Southeast Asia,1
27,84.52,41,4,0,9,9,Skullpanda,casual,Southeast Asia,1
16,90.67,16,3,10,0,8,Dimoo,casual,East Asia,1
22,106.75,31,1,9,4,7,Dimoo,completionist,Europe,1
54,38.32,23,5,4,8,3,Molly,display-focused,Southeast Asia,1
32,93.52,27,5,3,0,3,Dimoo,casual,Southeast Asia,1
35,142.34,9,5,6,0,10,Hirono,display-focused,Europe,1
34,79.72,32,1,9,6,10,Dimoo,casual,East Asia,1
47,130.61,37,1,0,3,3,Molly,trend-chaser,East Asia,0
18,80.3,17,2,4,4,3,Skullpanda,trend-chaser,East Asia,1
19,109.64,28,1,0,8,3,Skullpanda,completionist,North America,0
27,97.25,22,1,7,5,8,Hirono,display-focused,North America,1
35,53.44,35,1,0,7,10,Hirono,reseller,Southeast Asia,1
42,58.15,26,7,3,1,9,Hirono,completionist,Southeast Asia,1
35,153.28,29,2,8,0,9,Labubu,reseller,Europe,1
33,119.39,33,2,8,2,3,Dimoo,display-focused,Southeast Asia,0
53,82.45,25,3,2,2,3,Hirono,trend-chaser,Europe,1
22,78.17,21,5,5,3,9,Labubu,casual,North America,1
38,62.01,28,2,2,8,4,Labubu,completionist,East Asia,1
37,100.59,14,1,6,1,2,Labubu,reseller,North America,0
34,64.05,23,5,0,1,9,Dimoo,trend-chaser,North America,0
48,74.19,26,3,8,2,5,Skullpanda,trend-chaser,Oceania,0
26,66.62,27,4,0,3,0,Labubu,display-focused,Europe,1
54,116.32,21,6,6,2,9,Skullpanda,completionist,North America,1
29,81.1,23,1,4,2,3,Hirono,casual,Europe,1
37,90.94,26,2,2,6,3,Hirono,completionist,East Asia,0
36,53.84,27,1,5,1,5,Dimoo,casual,East Asia,0
49,66.45,30,1,1,1,2,Hirono,display-focused,Europe,0
33,91.74,31,3,6,9,9,Dimoo,trend-chaser,Europe,1
27,45.02,28,3,7,0,7,Hirono,reseller,East Asia,0
16,78.71,24,2,5,0,6,Molly,display-focused,East Asia,1
30,85.56,18,2,3,0,2,Hirono,casual,Southeast Asia,1
49,51.35,34,1,5,5,5,Hirono,display-focused,Europe,0
16,128.19,14,6,10,7,2,Dimoo,casual,Southeast Asia,1
51,98.65,13,4,8,7,10,Skullpanda,casual,Oceania,1
37,80.86,15,6,0,7,8,Molly,trend-chaser,North America,1
21,64.61,24,4,3,0,1,Molly,display-focused,North America,0
28,44.41,25,1,0,3,5,Labubu,casual,East Asia,0
38,124.12,23,3,2,6,8,Labubu,completionist,Southeast Asia,1
28,71.51,27,4,8,7,5,Molly,casual,North America,1
20,48.35,19,3,9,3,1,Labubu,display-focused,North America,1
42,63.91,17,5,5,9,1,Hirono,casual,East Asia,0
42,102.86,24,3,7,9,8,Dimoo,casual,Southeast Asia,1
20,94.57,16,2,4,8,5,Hirono,completionist,North America,1
27,55.62,26,2,5,8,5,Skullpanda,completionist,Europe,1
25,133.24,21,4,9,10,2,Labubu,display-focused,North America,1
42,48.12,31,1,3,8,2,Molly,trend-chaser,Oceania,0
45,144.75,25,1,3,6,4,Hirono,trend-chaser,East Asia,0
45,92.96,17,4,1,4,5,Labubu,reseller,Europe,1
53,73.64,29,3,2,3,5,Dimoo,trend-chaser,Southeast Asia,1
46,77.68,24,2,0,9,9,Labubu,trend-chaser,East Asia,1
28,88.75,23,4,8,3,2,Molly,trend-chaser,Southeast Asia,1
20,106.09,24,5,9,6,5,Labubu,casual,North America,1
40,41.74,25,5,4,5,2,Skullpanda,casual,North America,1
52,63.11,20,2,6,4,0,Labubu,reseller,Europe,0
55,87.62,21,2,2,4,4,Hirono,trend-chaser,North America,1
25,135.37,17,0,0,0,0,Labubu,trend-chaser,Southeast Asia,0
25,133.21,20,1,5,7,4,Molly,completionist,East Asia,1
17,157.4,16,3,1,0,6,Labubu,trend-chaser,North America,1
21,130.56,32,4,9,0,4,Crybaby,completionist,Southeast Asia,1
38,61.31,9,2,3,2,7,Dimoo,completionist,East Asia,1
37,85.41,14,5,8,5,3,Dimoo,casual,Europe,1
30,130.88,27,1,2,3,4,Skullpanda,display-focused,North America,0
28,125.58,24,2,1,9,9,Hirono,casual,Oceania,1
49,79.22,27,7,6,10,2,Labubu,casual,East Asia,1
34,104.9,28,4,2,4,5,Hirono,completionist,Southeast Asia,1
48,71.36,22,5,4,10,7,Hirono,casual,East Asia,0
54,46.77,33,2,3,0,3,Labubu,trend-chaser,Europe,0
28,81.98,31,2,9,1,3,Labubu,display-focused,North America,0
24,80.03,19,1,5,3,7,Skullpanda,completionist,East Asia,1
54,70.03,23,6,7,10,0,Labubu,casual,North America,1
41,106.26,21,3,6,5,2,Molly,trend-chaser,Oceania,0
27,78.18,25,0,10,7,4,Molly,display-focused,North America,1
40,100.32,24,5,4,7,2,Labubu,completionist,Europe,1
36,115.45,20,3,9,5,5,Dimoo,completionist,East Asia,1
52,207.19,23,5,9,10,6,Skullpanda,completionist,Europe,1
26,82.52,30,3,10,10,10,Dimoo,completionist,East Asia,1
55,136.17,24,3,7,4,6,Skullpanda,reseller,Southeast Asia,0
53,94.02,25,1,10,7,6,Molly,reseller,East Asia,1
23,96.2,22,3,8,6,7,Skullpanda,display-focused,Southeast Asia,1
22,82.97,24,2,3,6,2,Hirono,trend-chaser,Europe,0
37,90.77,18,1,1,1,5,Molly,display-focused,East Asia,0
17,78.47,30,0,2,2,9,Dimoo,casual,Southeast Asia,0
27,126.27,22,7,6,10,1,Hirono,display-focused,North America,1
33,64.01,27,2,1,2,3,Dimoo,display-focused,North America,0
54,46.61,23,3,2,7,2,Labubu,display-focused,North America,0
55,69.14,20,1,6,10,10,Labubu,trend-chaser,East Asia,1
22,66.32,19,5,3,6,3,Skullpanda,completionist,East Asia,1
51,69.13,16,2,7,2,3,Dimoo,trend-chaser,North America,0
19,81.25,16,2,10,9,8,Hirono,casual,North America,1
45,69.23,18,2,0,0,10,Dimoo,completionist,North America,1
49,80.79,22,4,7,7,0,Labubu,casual,Europe,1
51,69.31,23,2,9,2,9,Hirono,display-focused,North America,1
24,101.17,22,4,1,7,7,Dimoo,display-focused,Southeast Asia,0
51,206.34,30,2,8,5,9,Crybaby,completionist,Oceania,1
20,93.27,28,3,5,6,0,Hirono,reseller,Southeast Asia,1
36,70.41,20,1,6,4,0,Skullpanda,casual,Southeast Asia,0
34,33.92,25,2,0,5,3,Dimoo,casual,Oceania,0
28,175.71,18,3,4,10,9,Dimoo,display-focused,East Asia,1
16,95.37,30,5,4,9,5,Molly,casual,East Asia,1
46,80.51,23,1,1,4,7,Skullpanda,completionist,Southeast Asia,1
29,34.53,27,4,8,10,2,Labubu,display-focused,East Asia,1
42,82.18,20,1,5,9,3,Labubu,trend-chaser,Europe,0
32,90.46,23,5,9,6,9,Dimoo,trend-chaser,North America,1
30,69.41,23,1,1,6,5,Molly,display-focused,East Asia,1
51,49.78,26,2,8,0,8,Dimoo,trend-chaser,Southeast Asia,0
19,48.6,27,4,6,5,7,Skullpanda,reseller,East Asia,0
45,176.94,30,4,7,2,1,Hirono,casual,Europe,1
45,89.42,20,4,3,1,10,Dimoo,trend-chaser,East Asia,1
31,69.39,33,4,7,9,10,Hirono,display-focused,Southeast Asia,1
26,87.3,26,4,2,2,8,Skullpanda,completionist,Southeast Asia,1
16,84.94,15,1,8,6,5,Crybaby,completionist,Europe,1
53,47.73,23,6,4,9,4,Molly,trend-chaser,Europe,1
53,122.81,19,7,5,6,3,Hirono,reseller,Europe,1
25,79.68,24,1,6,8,7,Skullpanda,trend-chaser,Southeast Asia,1
17,89.91,27,6,0,8,3,Labubu,display-focused,North America,1
20,151.14,17,2,4,4,2,Dimoo,trend-chaser,Southeast Asia,1
18,50.32,22,5,2,10,0,Skullpanda,completionist,North America,1
49,62.74,29,6,10,9,4,Molly,reseller,Oceania,1
51,97.42,19,4,4,3,8,Molly,trend-chaser,Europe,1
22,121.81,14,1,0,9,8,Labubu,casual,East Asia,0
45,66.88,20,1,0,2,9,Crybaby,display-focused,East Asia,0
23,68.36,30,5,10,1,6,Dimoo,trend-chaser,Southeast Asia,1
30,110.13,22,3,1,5,9,Labubu,trend-chaser,Southeast Asia,1
39,199.07,18,2,0,6,8,Hirono,reseller,North America,1
44,88.46,26,2,2,6,8,Dimoo,display-focused,North America,1
50,62.66,22,3,2,8,5,Dimoo,casual,North America,1
17,55.86,11,4,0,4,0,Skullpanda,completionist,East Asia,1
23,81.15,19,3,10,8,4,Labubu,display-focused,East Asia,1
27,119.49,16,1,0,9,9,Labubu,trend-chaser,North America,1
28,237.92,23,4,8,1,8,Hirono,completionist,Southeast Asia,1
55,75.85,16,2,9,4,0,Dimoo,display-focused,North America,1
47,88.51,27,2,7,2,1,Dimoo,display-focused,Europe,1
28,164.0,21,3,1,7,7,Labubu,trend-chaser,Europe,1
54,96.77,27,1,7,4,10,Hirono,completionist,East Asia,1
35,93.53,18,3,3,3,8,Skullpanda,casual,North America,1
36,150.32,27,4,4,2,10,Dimoo,display-focused,Southeast Asia,1
33,89.34,20,6,2,3,0,Molly,display-focused,East Asia,1
21,57.58,21,5,8,1,9,Hirono,display-focused,East Asia,0
53,137.25,14,2,6,1,1,Crybaby,reseller,North America,1
16,44.93,33,4,1,6,9,Molly,casual,Southeast Asia,1
22,127.55,16,3,4,10,10,Hirono,display-focused,Southeast Asia,1
25,85.73,23,2,8,5,5,Dimoo,display-focused,Europe,1
27,76.17,17,0,10,10,5,Molly,display-focused,North America,0
21,75.4,34,2,10,1,5,Molly,completionist,Europe,0
16,81.03,26,5,1,10,6,Dimoo,completionist,Europe,1
43,71.88,27,5,9,6,9,Molly,casual,North America,1
54,102.46,18,3,6,8,3,Labubu,casual,East Asia,1
20,72.86,21,3,8,0,3,Hirono,reseller,Europe,0
27,39.46,22,3,4,6,10,Skullpanda,trend-chaser,Southeast Asia,1
36,85.98,29,3,7,4,9,Dimoo,casual,Europe,1
53,38.67,24,4,2,9,5,Dimoo,casual,East Asia,1
43,85.76,21,5,5,8,2,Skullpanda,trend-chaser,Oceania,1
46,71.32,24,1,2,9,10,Hirono,casual,Europe,0
